seed_id,seed_url,source_name,year_hint,allowed_domains,include_keywords,follow_keywords,max_depth,max_pages,notes
zhongguo_shiyou_beijing_211,https://www.cup.edu.cn/,中国石油大学北京,2024-2026,cup.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
zhongguo_kuangye_beijing_211,https://www.cumtb.edu.cn/,中国矿业大学北京,2024-2026,cumtb.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
hebei_gongye_211,https://www.hebut.edu.cn/,河北工业大学,2024-2026,hebut.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
tianjin_yike_211,https://www.tmu.edu.cn/,天津医科大学,2024-2026,tmu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
shanghai_daxue_211,https://www.shu.edu.cn/,上海大学,2024-2026,shu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
huadong_ligong_211,https://zsb.ecust.edu.cn/,华东理工大学本科招生网,2024-2026,ecust.edu.cn|zsb.ecust.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省信息|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
donghua_211,https://www.dhu.edu.cn/,东华大学,2024-2026,dhu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
shanghai_waiguoyu_211,https://www.shisu.edu.cn/,上海外国语大学,2024-2026,shisu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
shanghai_caijing_211,https://www.shufe.edu.cn/,上海财经大学,2024-2026,shufe.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
suzhou_daxue_211,https://www.suda.edu.cn/,苏州大学,2024-2026,suda.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
nanjing_shifan_211,https://www.njnu.edu.cn/,南京师范大学,2024-2026,njnu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
nanjing_nongye_211,https://www.njau.edu.cn/,南京农业大学,2024-2026,njau.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
zhongguo_kuangye_211,https://www.cumt.edu.cn/,中国矿业大学,2024-2026,cumt.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
hehai_211,https://www.hhu.edu.cn/,河海大学,2024-2026,hhu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
nanhang_211,https://zs.nuaa.edu.cn/,南京航空航天大学招生网,2024-2026,nuaa.edu.cn|zs.nuaa.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
nanli_211,https://zsb.njust.edu.cn/,南京理工大学本科招生信息网,2024-2026,njust.edu.cn|zsb.njust.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
zhongguo_yaoke_211,https://www.cpu.edu.cn/,中国药科大学,2024-2026,cpu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
jiangnan_211,https://www.jiangnan.edu.cn/,江南大学,2024-2026,jiangnan.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
anhui_daxue_211,https://www.ahu.edu.cn/,安徽大学,2024-2026,ahu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
hefei_gongda_211,http://bkzs.hfut.edu.cn/,合肥工业大学本科招生,2024-2026,hfut.edu.cn|bkzs.hfut.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
fuzhou_daxue_211,https://www.fzu.edu.cn/,福州大学,2024-2026,fzu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
nanchang_daxue_211,https://www.ncu.edu.cn/,南昌大学,2024-2026,ncu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
zhongguo_shiyou_huadong_211,https://www.upc.edu.cn/,中国石油大学华东,2024-2026,upc.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
zhengzhou_daxue_211,https://www.zzu.edu.cn/,郑州大学,2024-2026,zzu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
wuhan_ligong_211,https://zs.whut.edu.cn/,武汉理工大学本科招生网,2024-2026,whut.edu.cn|zs.whut.edu.cn,广西|本科招生|招生计划|录取情况|招生章程|学院专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
huazhong_nongye_211,https://www.hzau.edu.cn/,华中农业大学,2024-2026,hzau.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
huazhong_shifan_211,https://www.ccnu.edu.cn/,华中师范大学,2024-2026,ccnu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
zhongnan_caijing_211,https://www.zuel.edu.cn/,中南财经政法大学,2024-2026,zuel.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
zhongguo_dizhi_wuhan_211,https://www.cug.edu.cn/,中国地质大学武汉,2024-2026,cug.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
hunan_shifan_211,https://www.hunnu.edu.cn/,湖南师范大学,2024-2026,hunnu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
jinan_daxue_211,https://www.jnu.edu.cn/,暨南大学,2024-2026,jnu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
huanan_shifan_211,https://www.scnu.edu.cn/,华南师范大学,2024-2026,scnu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
guangxi_daxue_211,https://www.gxu.edu.cn/,广西大学,2024-2026,gxu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
xinan_daxue_211,https://www.swu.edu.cn/,西南大学,2024-2026,swu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
xinan_jiaoda_211,https://infpub.swjtu.edu.cn/gksx/zsksxx/bkszs1.htm,西南交通大学本科生招生信息公开,2024-2026,swjtu.edu.cn|infpub.swjtu.edu.cn,广西|本科招生|招生计划|录取最低分|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
sichuan_nongda_211,https://www.sicau.edu.cn/,四川农业大学,2024-2026,sicau.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
xinan_caijing_211,https://www.swufe.edu.cn/,西南财经大学,2024-2026,swufe.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
xidian_211,https://zsb.xidian.edu.cn/,西安电子科技大学本科招生网,2024-2026,xidian.edu.cn|zsb.xidian.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|专业介绍,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
changan_211,https://www.chd.edu.cn/,长安大学,2024-2026,chd.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
shanxi_shifan_211,https://www.snnu.edu.cn/,陕西师范大学,2024-2026,snnu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
xibei_daxue_211,https://www.nwu.edu.cn/,西北大学,2024-2026,nwu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
liaoning_daxue_211,https://www.lnu.edu.cn/,辽宁大学,2024-2026,lnu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
dalian_haishi_211,https://www.dlmu.edu.cn/,大连海事大学,2024-2026,dlmu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
dongbei_shifan_211,https://www.nenu.edu.cn/,东北师范大学,2024-2026,nenu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
yanbian_daxue_211,https://www.ybu.edu.cn/,延边大学,2024-2026,ybu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
haerbin_gongcheng_211,https://zsb.hrbeu.edu.cn/,哈尔滨工程大学本科招生,2024-2026,hrbeu.edu.cn|zsb.hrbeu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
dongbei_nongye_211,https://www.neau.edu.cn/,东北农业大学,2024-2026,neau.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
dongbei_linye_211,https://www.nefu.edu.cn/,东北林业大学,2024-2026,nefu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
taiyuan_ligong_211,https://www.tyut.edu.cn/,太原理工大学,2024-2026,tyut.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
neimenggu_daxue_211,https://www.imu.edu.cn/,内蒙古大学,2024-2026,imu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
hainan_daxue_211,https://www.hainanu.edu.cn/,海南大学,2024-2026,hainanu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
guizhou_daxue_211,https://www.gzu.edu.cn/,贵州大学,2024-2026,gzu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
yunnan_daxue_211,https://www.ynu.edu.cn/,云南大学,2024-2026,ynu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
ningxia_daxue_211,https://www.nxu.edu.cn/,宁夏大学,2024-2026,nxu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
qinghai_daxue_211,https://www.qhu.edu.cn/,青海大学,2024-2026,qhu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
xinjiang_daxue_211,https://www.xju.edu.cn/,新疆大学,2024-2026,xju.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
shihezi_daxue_211,https://www.shzu.edu.cn/,石河子大学,2024-2026,shzu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
